cardId,fields,ord,deckName,factor,interval,note,type,queue,due,reps,lapses,left,mod,raw_fields,dictionary_form,definitions
1692719652132,"('潜入', ['infiltration', 'sneaking in', 'going undercover', '彼は農夫に身をやつして城下町に潜入した。'])",0,日本語::FMA,1300,3,1692719652132,2,2,351,55,9,1001,1698343138,"{'wordDictionaryForm': {'value': '<span class="""">潜入</span>', 'order': 0}, 'sentence': {'value': 'そうだ彼がこのセントラルに<span class=""highlight"">潜入</span>している', 'order': 1}, 'reading': {'value': 'せんにゅう', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>infiltration</li><li>sneaking in</li><li>going undercover</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>彼は農夫に身をやつして城下町に潜入した。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">Disguising himself as a peasant, he crept into the castle town.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_せんにゅう_潜入_2023-07-22-15-54-11.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Fullmetal_1_00-14_00-17_2023-08-22-17-54-13.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Fullmetal_1_00-15_2023-08-22-17-54-13.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'せんにゅう', 'order': 7}, 'frequency': {'value': '3661', 'order': 8}}",潜入,"['infiltration', 'sneaking in', 'going undercover', '彼は農夫に身をやつして城下町に潜入した。']"
1692719668007,"('大佐', ['colonel', '(navy) captain', 'だいさ used by Imperial Japanese Navy', '彼は２年前に、大佐の階級に昇進した。'])",0,日本語::FMA,2500,74,1692719668007,2,2,401,7,0,1001,1696512029,"{'wordDictionaryForm': {'value': '<span class="""">大佐</span>', 'order': 0}, 'sentence': {'value': 'ロイ·マスタング<span class=""highlight"">大佐</span>', 'order': 1}, 'reading': {'value': 'たいさ', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>colonel</li><li>(navy) captain</li></ul><ul data-sc-content=""notes"" lang=""ja"" style=""list-style-type: &quot;📝 &quot;;""><li>だいさ used by Imperial Japanese Navy</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>彼は２年前に、大佐の階級に昇進した。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">He was raised to the rank of colonel two years ago.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_たいさ_大佐_2023-07-22-15-54-27.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Fullmetal_1_00-18_00-19_2023-08-22-17-54-28.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Fullmetal_1_00-19_2023-08-22-17-54-29.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'たいさ', 'order': 7}, 'frequency': {'value': '3086', 'order': 8}}",大佐,"['colonel', '(navy) captain', 'だいさ used by Imperial Japanese Navy', '彼は２年前に、大佐の階級に昇進した。']"
1692719969857,"('捕獲', ['capture', 'seizure', '私たちは、昨日、森に行き、２頭の鹿を捕獲した。'])",0,日本語::FMA,1300,9,1692719969856,2,2,356,83,14,1001,1698250508,"{'wordDictionaryForm': {'value': '<span class="""">捕獲</span>', 'order': 0}, 'sentence': {'value': 'その<span class=""highlight"">捕獲</span>の指揮を君に任せたいのだよ', 'order': 1}, 'reading': {'value': 'ほかく', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>capture</li><li>seizure</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>私たちは、昨日、森に行き、２頭の鹿を捕獲した。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">We went hunting in the forest and caught two deer yesterday.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_ほかく_捕獲_2023-07-22-15-59-29.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Fullmetal_1_00-19_00-23_2023-08-22-17-59-33.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Fullmetal_1_00-21_2023-08-22-17-59-34.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'ほかく', 'order': 7}, 'frequency': {'value': '4193', 'order': 8}}",捕獲,"['capture', 'seizure', '私たちは、昨日、森に行き、２頭の鹿を捕獲した。']"
1692719991878,"('指揮', ['command', 'direction', 'supervision', '彼女は計画の立案を指揮した。'])",0,日本語::FMA,1300,12,1692719991878,2,2,354,56,6,1001,1697778191,"{'wordDictionaryForm': {'value': '<span class="""">指揮</span>', 'order': 0}, 'sentence': {'value': 'その捕獲の<span class=""highlight"">指揮</span>を君に任せたいのだよ', 'order': 1}, 'reading': {'value': 'しき', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>command</li><li>direction</li><li>supervision</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>彼女は計画の立案を指揮した。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">She directed the planning of the project.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_しき_指揮_2023-07-22-15-59-51.mp3]', 'order': 4}, 'sentenceAudio': {'value': '', 'order': 5}, 'picture': {'value': '', 'order': 6}, 'pitchAccent': {'value': 'しき', 'order': 7}, 'frequency': {'value': '1362', 'order': 8}}",指揮,"['command', 'direction', 'supervision', '彼女は計画の立案を指揮した。']"
1692720004426,"('任せる', ['to leave (a matter, decision, etc. to someone)', 'to entrust (to someone)', 'to entrust (someone) with', '最終決定は彼に任せた。'])",0,日本語::FMA,1300,3,1692720004426,2,2,351,52,11,1001,1698297966,"{'wordDictionaryForm': {'value': '<span class="""">任せる</span>', 'order': 0}, 'sentence': {'value': 'その捕獲の指揮を君に<span class=""highlight"">任せたい</span>のだよ', 'order': 1}, 'reading': {'value': 'まかせる', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>to leave (a matter, decision, etc. to someone)</li><li>to entrust (to someone)</li><li>to entrust (someone) with</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>最終決定は彼に任せた。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">We left the final decision to him.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_まかせる_任せる_2023-07-22-16-00-03.mp3]', 'order': 4}, 'sentenceAudio': {'value': '', 'order': 5}, 'picture': {'value': '', 'order': 6}, 'pitchAccent': {'value': 'まかせる', 'order': 7}, 'frequency': {'value': '438', 'order': 8}}",任せる,"['to leave (a matter, decision, etc. to someone)', 'to entrust (to someone)', 'to entrust (someone) with', '最終決定は彼に任せた。']"
1692720008691,"('君', ['you', 'buddy', 'pal', 'sometimes considered male language; referring to someone of equal or lower status', '宿題を忘れるなんて君は不注意だった。'])",0,日本語::FMA,1900,21,1692720008691,2,2,362,20,3,1001,1697744151,"{'wordDictionaryForm': {'value': '<span class="""">君</span>', 'order': 0}, 'sentence': {'value': 'その捕獲の指揮を<span class=""highlight"">君</span>に任せたいのだよ', 'order': 1}, 'reading': {'value': 'きみ', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>you</li><li>buddy</li><li>pal</li></ul><ul data-sc-content=""notes"" lang=""ja"" style=""list-style-type: &quot;📝 &quot;;""><li>sometimes considered male language; referring to someone of equal or lower status</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>宿題を忘れるなんて君は不注意だった。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">It was careless of you to forget your homework.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_きみ_君_2023-07-22-16-00-08.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Fullmetal_1_00-19_00-23_2023-08-22-18-00-15.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Fullmetal_1_00-21_2023-08-22-18-00-15.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'きみ', 'order': 7}, 'frequency': {'value': '62', 'order': 8}}",君,"['you', 'buddy', 'pal', 'sometimes considered male language; referring to someone of equal or lower status', '宿題を忘れるなんて君は不注意だった。']"
1692720054597,"('命令', ['order', 'command', 'decree', 'directive', 'ケンは自分の犬に、そこで待つように命令した。'])",0,日本語::FMA,2500,59,1692720054596,2,2,381,10,0,1001,1696051408,"{'wordDictionaryForm': {'value': '<span class="""">命令</span>', 'order': 0}, 'sentence': {'value': 'ご<span class=""highlight"">命令</span>とあらば', 'order': 1}, 'reading': {'value': 'めいれい', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>order</li><li>command</li><li>decree</li><li>directive</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>ケンは自分の犬に、そこで待つように命令した。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">Ken told his dog to wait there.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_めいれい_命令_2023-07-22-16-00-53.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Fullmetal_1_00-23_00-24_2023-08-22-18-01-11.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Fullmetal_1_00-23_2023-08-22-18-01-12.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'めいれい', 'order': 7}, 'frequency': {'value': '959', 'order': 8}}",命令,"['order', 'command', 'decree', 'directive', 'ケンは自分の犬に、そこで待つように命令した。']"
1692720116475,"('安心', ['relief', 'peace of mind', 'あいつに仕事を任せておけば安心だ。'])",0,日本語::FMA,1300,11,1692720116475,2,2,351,46,7,1001,1697647552,"{'wordDictionaryForm': {'value': '<span class="""">安心</span>', 'order': 0}, 'sentence': {'value': '<span class=""highlight"">安心</span>して任せられる', 'order': 1}, 'reading': {'value': 'あんしん', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>relief</li><li>peace of mind</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>あいつに仕事を任せておけば安心だ。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">You can trust him with any job.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_あんしん_安心_2023-07-22-16-01-55.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Fullmetal_1_00-28_00-29_2023-08-22-18-02-01.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Fullmetal_1_00-28_2023-08-22-18-02-02.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'あんしん', 'order': 7}, 'frequency': {'value': '488', 'order': 8}}",安心,"['relief', 'peace of mind', 'あいつに仕事を任せておけば安心だ。']"
1692720504948,"('少年', ['boy', 'juvenile', 'young boy', 'youth', 'lad', 'その内気な少年はぼそぼそと自分の名前をつぶやいた。'])",0,日本語::FMA,2300,40,1692720504947,2,2,356,11,1,1001,1695567448,"{'wordDictionaryForm': {'value': '<span class="""">少年</span>', 'order': 0}, 'sentence': {'value': 'あの<span class=""highlight"">少年</span>も来ている', 'order': 1}, 'reading': {'value': 'しょうねん', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>boy</li><li>juvenile</li><li>young boy</li><li>youth</li><li>lad</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>その内気な少年はぼそぼそと自分の名前をつぶやいた。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">The shy boy murmured his name.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_しょうねん_少年_2023-07-22-16-08-24.mp3]', 'order': 4}, 'sentenceAudio': {'value': '', 'order': 5}, 'picture': {'value': '', 'order': 6}, 'pitchAccent': {'value': 'しょうねん', 'order': 7}, 'frequency': {'value': '459', 'order': 8}}",少年,"['boy', 'juvenile', 'young boy', 'youth', 'lad', 'その内気な少年はぼそぼそと自分の名前をつぶやいた。']"
1692720536469,"('使う', ['to use (a tool, method, etc.)', 'to make use of', 'to put to use', '「あなたの辞書を使ってもいいですか」「はい、どうぞ」'])",0,日本語::FMA,2100,28,1692720536469,2,2,350,16,2,1001,1696062057,"{'wordDictionaryForm': {'value': '<span class="""">使う</span>', 'order': 0}, 'sentence': {'value': '存分に<span class=""highlight"">使って</span>やりたまえ', 'order': 1}, 'reading': {'value': 'つかう', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>to use (a tool, method, etc.)</li><li>to make use of</li><li>to put to use</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>「あなたの辞書を使ってもいいですか」「はい、どうぞ」</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">""Can I use your dictionary?"" ""Yes, here you are.""</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_つかう_使う_2023-07-22-16-08-55.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Fullmetal_1_00-33_00-35_2023-08-22-18-09-07.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Fullmetal_1_00-34_2023-08-22-18-09-07.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'つかう', 'order': 7}, 'frequency': {'value': '51', 'order': 8}}",使う,"['to use (a tool, method, etc.)', 'to make use of', 'to put to use', '「あなたの辞書を使ってもいいですか」「はい、どうぞ」']"
